seed,RMSE_train,MAE_train,R2_train,L2err_train,RMSE_test,MAE_test,R2_test,L2err_test,LAT_FWT,LON_FWT,AREA_ACR,USFLUXL,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,NACR,SIZE_ACR,SIZE
1001,0.18896077043459508,0.14123621929408714,0.8105415065239894,8.019902525132167,0.4043065454115992,0.30237753544091295,0.18765282308050268,16.931491313765132,0.05260303669362207,0.05260602745114454,0.03495944159969465,0.03292330393601115,0.03906995427872587,0.04616833613408719,0.046495208934954825,0.047440145894353525,0.05085759673933399,0.046036117189028114,0.04185004372159514,0.0453570745343573,0.05412814528108708,0.05877248378189632,0.04747232250451233,0.046982862632385894,0.036264208687883374,0.037031185775580316,0.0734591568387052,0.03389025001803195,0.03566952230725939,0.039963575065749816
2001,0.19194791380456505,0.14182223015130743,0.8080322888454605,7.970938443540043,0.39285683415776373,0.29128690110845984,0.17551493045122168,16.730096257473804,0.04918914934745455,0.05163606936920615,0.033921741152878375,0.036118091715118844,0.04000590600482881,0.04524567737620096,0.04669900857669803,0.04931951948332572,0.05225354844886409,0.046719302435362126,0.042113775937521775,0.044254377921726824,0.05399516336637524,0.05557738379074593,0.044965095338262435,0.0467519593789332,0.03678818095099857,0.0364533931783834,0.07456908202718811,0.038217057194827424,0.035090719309825526,0.04011579769527393
3001,0.19600203346709877,0.14248569564964475,0.7965879200166577,8.20749687114243,0.39485032322599006,0.29449584594727707,0.21896734208750646,17.36365972069714,0.05248546868714046,0.051421029375714765,0.03339667162226981,0.0328682998616853,0.037874561250576755,0.044689507231908204,0.04673369724278341,0.04922540006835061,0.05329163415005455,0.04826473733919913,0.04438167073135779,0.0452362485499358,0.05219290071435429,0.05813585017145898,0.046156079609753035,0.042094928539942546,0.04007083452214758,0.03723264413594202,0.0754955403278689,0.035484459786065084,0.03429600897199227,0.038971827109498904
4001,0.19328992980717588,0.14225939242800567,0.8070083708876635,8.1534170676668,0.37977822955421225,0.28577094880332876,0.20171037308193063,15.891285261163846,0.043995551876697944,0.04851547185379069,0.03875997954106829,0.03719486439846992,0.037069031800197265,0.047277838600735665,0.04549126707036409,0.04527716756104685,0.04943084718347501,0.05667109248973254,0.04083513005480274,0.04457152670413675,0.051753334456709134,0.05445284872427437,0.04758143802221346,0.04813818775957805,0.03948792085081249,0.03534007104192517,0.07337288864952779,0.03691882711904226,0.03613958132720693,0.041725132914192685
5001,0.19213782783680708,0.14202266385865417,0.8063982167949163,7.964688339478138,0.4052301421222518,0.2970407567752615,0.1459412103665193,17.63094459199566,0.04581629567682587,0.04983336107340374,0.0375888585552234,0.035493283202225105,0.03837666491504866,0.045719348621143255,0.04392152108759629,0.048172932909065776,0.05139821252905494,0.050414282083729466,0.04097208079023909,0.043617226950127395,0.05406801502965273,0.057785992240818394,0.04496822995320774,0.04495715922273878,0.03707907717299708,0.036550332146257795,0.07871034823048483,0.03621350515833668,0.03668981321575105,0.041653459236071874
6001,0.1954498201322255,0.14244664176990723,0.8012604442838549,8.08606708657969,0.39894714630605194,0.29450806899254794,0.1456347685890872,17.300075048607592,0.052040113431484125,0.052835602528210894,0.034663609687231915,0.035095166893949134,0.03796493215521955,0.04640958221485148,0.04536101494889703,0.047526423900572004,0.05281986356501391,0.05229586506503052,0.04309053968203937,0.04205297463395341,0.054231542030498764,0.05643913886814374,0.042062894066558706,0.05080723415407435,0.0362532974780988,0.03400542089330979,0.07316474574181624,0.03581105695458361,0.03674628505905023,0.038322696047412314
7001,0.19322800028746165,0.14177422427872666,0.8032971101239184,8.311837299068333,0.3937993906708576,0.2938481987925044,0.20813278261783152,16.328613089056567,0.04871704524909657,0.053536969462142515,0.035961725136977776,0.035139996491125786,0.03747664104387043,0.04875505107376656,0.045513667518025026,0.04950599542821143,0.050345935761537786,0.05162516054368427,0.042960659579755436,0.04462272898315664,0.05504615059181149,0.0548876720135913,0.04571634423270169,0.0460454288736386,0.037104576377251224,0.03745752699628303,0.07077680541386429,0.03386238954319792,0.03491968291614057,0.04002184677016981
8001,0.19312200910544303,0.14160334489889323,0.8020354978295146,7.969053545184961,0.39604223093591334,0.29148431847092954,0.22162764877735408,17.65859695570862,0.05029248408063482,0.05102130841257651,0.03395986480518784,0.03156782404888462,0.03790484738006246,0.045002675717244534,0.04942372326650988,0.04800014565318995,0.052830998712859976,0.04973720979688205,0.044199022176864736,0.04324904696580988,0.055067936205496645,0.06211578836322237,0.04488501489938133,0.04396929571488301,0.036420615553586354,0.03621027529774359,0.0766415746227848,0.03580554679775061,0.03304938776333438,0.03864541376510981
9001,0.1940053566126707,0.14313870295446912,0.8042314177593084,8.1636032279641,0.38905188839491206,0.2920964491354343,0.18678758785079008,16.41067196502956,0.05203543545988341,0.050106155168000654,0.031733210873354685,0.033923221138219696,0.0399716376443487,0.04357554129817215,0.046276414472799676,0.045726637512891175,0.04964354398692866,0.048216882107635806,0.04381912289074624,0.04569377256361101,0.05868452762508285,0.06023784896471649,0.04723105321342036,0.04820580463443136,0.037628501280037786,0.03673652116942878,0.0715042997470387,0.03568538564475133,0.03367596623503395,0.03968851636946655
10001,0.18821144712024288,0.1394023129135347,0.8144643496519669,7.775062184386253,0.40107514591522214,0.2985252997600821,0.1591869116922323,16.95073543582771,0.04769657227960878,0.048227905836689504,0.03327952847117706,0.0325141081282234,0.036701179220444156,0.044333196090931684,0.04784534088741283,0.049509778306613225,0.04828805838820334,0.051090261671740946,0.0405608251457256,0.044494766092654334,0.0548118977028199,0.058046374602864444,0.04824659138143138,0.04830037280248405,0.037288488897530066,0.03629281574658034,0.078403596191888,0.037004932596950514,0.03758983807669518,0.03947357148133135
