310,49
311,54
313,51
314,54
315,54
316,54
317,54
318,54
335,86
338,86
341,86
366,92
420,115
446,115
451,115
461,115
494,156
522,185
535,187
584,187
622,211
623,211
632,211
697,226
699,226
704,226
709,245
715,245
716,245
723,245
727,245
729,245
731,245
732,245
975,345
983,345
1027,362
1028,362
1029,362
1030,362
1042,362
1043,362
1045,362
1046,362
1056,384
1101,377
1104,377
1107,377
1109,377
1110,377
1115,377
1118,377
1119,377
1122,377
1126,377
1127,377
1128,377
1129,377
1138,377
1139,377
1140,377
1141,377
1153,384
1155,392
1156,392
1158,392
1162,392
1163,392
1165,393
1172,393
1179,393
1228,407
1231,394
1237,394
1238,394
1240,394
1242,407
1248,394
1249,394
1250,394
1251,394
1253,394
1254,394
1259,394
1260,394
1261,393
1262,394
1263,394
1264,394
1265,415
1266,394
1268,394
1269,394
1270,394
1272,394
1273,393
1279,414
1282,414
1287,414
1306,421
1313,401
1314,401
1317,401
1334,401
1341,407
1347,407
1348,407
1349,407
1356,437
1357,437
1358,437
1360,437
1364,437
1365,437
1367,437
1370,437
1372,437
1373,437
1374,437
1376,437
1398,437
1414,466
1426,504
1428,504
1429,504
1430,504
1438,504
1463,480
1465,480
1468,480
1469,480
1478,514
1480,514
1482,514
1485,514
1488,514
1489,514
1490,514
1491,514
1492,514
1493,514
1494,514
1495,514
1496,514
1497,514
1498,514
1499,514
1500,514
1501,514
1502,514
1536,556
1539,514
1540,514
1542,540
1543,540
1544,514
1545,514
1546,514
1549,514
1553,540
1592,610
1609,637
1610,637
1611,637
1612,637
1614,637
1615,637
1616,637
1617,637
1618,637
1619,637
1620,637
1621,637
1622,637
1623,637
1624,637
1625,637
1626,637
1627,637
1628,637
1632,637
1633,637
1634,637
1635,637
1636,637
1637,637
1639,637
1640,637
1641,637
1654,650
1674,637
1675,637
1676,661
1691,667
1693,667
1695,667
1696,667
1720,661
1855,753
1912,746
1919,750
1937,753
1942,753
1943,753
1945,753
1946,753
1947,753
1948,753
1949,753
1950,753
1951,753
1952,753
1953,753
1954,753
1956,753
1957,753
1963,794
1967,794
1972,798
1973,798
1975,794
1977,798
2017,794
2020,794
2032,833
2034,833
2049,843
2052,814
2053,814
2054,814
2055,814
2056,814
2057,814
2064,847
2072,833
2074,833
2077,833
2078,833
2079,833
2081,833
2082,853
2083,853
2084,856
2085,856
2086,856
2087,856
2090,856
2095,856
2099,869
2100,869
2102,869
2103,869
2104,850
2105,850
2107,850
2108,869
2109,850
2110,847
2111,850
2112,878
2118,878
2119,878
2124,878
2125,878
2132,892
2138,892
2139,892
2140,892
2141,856
2142,856
2143,856
2144,856
2145,856
2146,856
2147,856
2148,892
2149,892
2150,856
2151,856
2152,856
2153,892
2155,856
2156,892
2157,892
2158,892
2159,856
2160,892
2164,899
2165,899
2170,899
2174,899
2176,899
2214,892
2215,892
2216,892
2217,892
2218,932
2219,932
2220,932
2221,932
2222,932
2223,902
2225,902
2232,940
2284,976
2285,976
2288,976
2290,976
2291,976
2292,940
2293,940
2294,940
2295,940
2299,997
2301,997
2311,976
2312,976
2313,976
2314,976
2326,1026
2327,1028
2328,1026
2329,1028
2330,1028
2331,1028
2332,1028
2333,1028
2334,1028
2335,1028
2336,1028
2337,1028
2338,1028
2339,1028
2340,1028
2341,1028
2342,1028
2343,1028
2344,1028
2345,1026
2346,1028
2347,1028
2348,1028
2349,1028
2350,1028
2351,1028
2352,1028
2384,1026
2387,1026
2388,1026
2389,1026
2390,1026
2391,1026
2392,1026
2393,1026
2397,1026
2398,1028
2399,1028
2402,1028
2404,1028
2405,1028
2406,1028
2408,1028
2409,1028
2410,1028
2411,1028
2413,1028
2419,1089
2421,1092
2422,1093
2423,1093
2431,1093
2437,1093
2440,1093
2441,1093
2450,1113
2451,1066
2453,1080
2456,1090
2458,1080
2462,1093
2468,1120
2471,1120
2474,1124
2475,1124
2477,1124
2478,1126
2479,1093
2485,1126
2488,1164
2495,1171
2496,1168
2497,1171
2498,1168
2505,1149
2506,1149
2507,1149
2508,1183
2509,1149
2510,1149
2511,1149
2512,1149
2513,1149
2514,1149
2515,1149
2544,1221
2547,1221
2548,1221
2549,1221
