seed,RMSE_train,MAE_train,R2_train,L2err_train,RMSE_test,MAE_test,R2_test,L2err_test,LAT_FWT,LON_FWT,AREA_ACR,USFLUXL,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,NACR,SIZE_ACR,SIZE,193_magnitude,193_rel_magnitude,193_est_size,193_duration,171_magnitude,171_rel_magnitude,171_est_size,171_duration,304_magnitude,304_rel_magnitude,304_est_size,304_duration,1600_magnitude,1600_rel_magnitude,1600_est_size,1600_duration,131_magnitude,131_rel_magnitude,131_est_size,131_duration,94_magnitude,94_rel_magnitude,94_est_size,94_duration,Nx,Ny
1001,0.07679168910072261,0.056883881124212776,0.9687104571236977,1.7057362705549493,0.14614155393789527,0.1056890822401979,0.8938628130767323,3.649041250125314,0.005990018199732483,0.00560449555012763,0.0033354818650258326,0.0034490456424769744,0.004337006667394134,0.00557366040139243,0.005595537567321888,0.005420030959136727,0.0047806411457623306,0.005160818735742653,0.004583003388035082,0.0050170728004081035,0.004769407048132962,0.004715706488842749,0.007209572049227778,0.0059539090740698694,0.004689834949725484,0.004995483276556278,0.006945690603039349,0.003925336805413827,0.004062483835044907,0.004850700068051811,0.006021341623241479,0.033622758654721537,0.06306580671290893,0.0054452048848239775,0.005412220045067309,0.008345844639129074,0.011781225680496556,0.005923176152808176,0.004757635087431437,0.015633423897174085,0.0061825763789311585,0.005071237265211866,0.0043902631368083435,0.008052796408334234,0.007440267339560851,0.004722702696752702,0.08966070797671273,0.26292085464417775,0.09135917533682597,0.005243674391245174,0.10249304340475035,0.09169535169729674,0.029324117892237354,0.005072243976499787,0.007810758946690414,0.007586654009500907
2001,0.07905550556998098,0.05706961412777624,0.9674369080992841,1.7723188961051264,0.14934344608646433,0.10463696420786218,0.8808520684598833,3.060264018350574,0.0051806086885506945,0.004828456029270903,0.0036005996689818963,0.0033867211366102783,0.0040991121183057005,0.0056960491364121445,0.00548397595992681,0.005378379637800809,0.005017280296735716,0.004610926472623595,0.004429306309392675,0.004932149497116087,0.004895890728587459,0.005000784526053816,0.006611804165860157,0.005107424967154285,0.0044344139103372595,0.004916200846564249,0.007177334895059312,0.003788887747231169,0.003330898118491233,0.004951591226451265,0.005723766593484887,0.03423282995119429,0.06449169140078481,0.00524703012425023,0.005847603907365034,0.01076842631706623,0.009858136143083738,0.005450034319417275,0.00448917367338993,0.02043336635194739,0.005444681261100398,0.00456540202894483,0.004394719843486099,0.013636910649563058,0.008351473731154718,0.005039278913869084,0.1020157662980808,0.2527799521854184,0.08683841803731036,0.004893258793413226,0.09722346069290444,0.08687090751552132,0.03388279997445864,0.005381806049368129,0.008212895653243922,0.007067413506661251
3001,0.07633272693168171,0.05632991082240936,0.9691484390979748,1.6972973158653692,0.13955971576947815,0.10163112808271695,0.902428192435159,2.9256302487388792,0.0051633153254470685,0.005540967810713477,0.003423350665488558,0.0038236331468380898,0.004120357199355172,0.0055815193942026576,0.005878154223315173,0.0061475400704874734,0.005511882562254731,0.0055686061901581005,0.004621584921636249,0.005074054172089781,0.00504975139142536,0.004555171260100709,0.006860910517486611,0.005407398724620355,0.004558350664838784,0.004418266598265237,0.007223696202508184,0.0033508543592110198,0.0034433520994070653,0.005325744137011353,0.006379965531558345,0.044916670773915264,0.040970979740207164,0.005025803023634019,0.007716141645378571,0.010638079026315897,0.007535630819603808,0.00568788119897108,0.005010701581255484,0.019362126349815094,0.007328807896320487,0.0051008210539326615,0.005474158641632145,0.013056442208841938,0.009687839654925375,0.004281090696673276,0.09576405459585771,0.23809540004362548,0.10043028554780356,0.005331142512001946,0.0987191704868583,0.09489473948555376,0.03503006528627274,0.006038168110737196,0.008268724325427879,0.008606648126019712
4001,0.07709645849909172,0.056844622779229165,0.9692964301544081,1.7088967046827945,0.14478966915965338,0.10354838241498185,0.8839686069294437,3.3798823982235313,0.005574595560331296,0.005038734942067876,0.003322742677498215,0.004284586680937041,0.003914969890303696,0.005820693995191072,0.004964956051613675,0.006077909573070808,0.00526704495676909,0.005391977377472885,0.004221894753504776,0.004691979353309396,0.004497313936333151,0.004381803934718282,0.006477166257978855,0.005683162901080771,0.004706026829031387,0.004947994248823411,0.007431090903028608,0.0034027986848043394,0.0034489102595584623,0.005740944532874036,0.006228333619917979,0.04046057547202873,0.04774099218183245,0.00459330435613373,0.005896460907602627,0.007959863868511089,0.0075839730556452895,0.0056285414838093675,0.00445940829223499,0.020138043214549293,0.005222828840237999,0.004652960566887104,0.004719721786274054,0.00827002193623396,0.008167659411180295,0.004436231068111598,0.10094754868230299,0.25089924055018337,0.09638538316297089,0.0049444442753365445,0.09656017481387923,0.08511283395506128,0.047529313229213194,0.005457313267280014,0.00884481710117413,0.007870712601106618
5001,0.0768039866387954,0.056509333263727264,0.9690649283143499,1.789476126482914,0.14564274463509913,0.1027880015402023,0.8896780341398304,3.0822944014857323,0.006057952326127898,0.004757433624966433,0.0034434267643549165,0.003103001250458269,0.004425311305790471,0.005080250855668763,0.004964981702260108,0.005355388232390093,0.005472555968417302,0.004978665115577913,0.004050720667313197,0.004844411270972637,0.004482904968934518,0.004327255136134297,0.005763567585659955,0.005606266324541302,0.00459856349582366,0.004938675490191262,0.007437229376147711,0.003209898471048903,0.0030168459883245595,0.00543080167123348,0.005862033579007984,0.03434872516953218,0.04606107548053752,0.005250790873507702,0.008201908969163584,0.00995968967448311,0.008760307485927743,0.00557941973495678,0.0044957747326056135,0.02520580891260393,0.005800120595968854,0.0052720048663924155,0.004948370726982312,0.011081712664429429,0.009637940413566418,0.004670130646744504,0.10157928114474445,0.25922065060136884,0.09590782640674263,0.005231937059190501,0.09274818869924596,0.08881819951208499,0.035103720206892404,0.00574627742677315,0.007964164483859617,0.007197832340349793
6001,0.07701267146353634,0.056949783271233824,0.9691441054342494,1.6050714663293844,0.14226420032126905,0.10079924678646006,0.8913564133399099,3.5833098020061267,0.005333929035530235,0.005303245302335588,0.0032635077907921762,0.0034310157156985854,0.0038222148646057325,0.005486058943902294,0.005050928249001702,0.005013403951863529,0.005455106692915534,0.005022100512354141,0.004946500996904779,0.005144043082547465,0.005583936261779018,0.004674110172870144,0.006491572904565573,0.005300311850461008,0.004692894808641045,0.004406088188800227,0.007581126576116024,0.0038936761425526407,0.0034264789942332085,0.004530665999914943,0.0064180339015502295,0.04012310124046456,0.04721028090984396,0.004970276982600799,0.005934006460728055,0.00911376351992231,0.009477059870493201,0.005692251859278082,0.005003766681264074,0.020820442966230302,0.005790660881050602,0.004657336652326672,0.004189484900568118,0.012256484804211647,0.009327850152081648,0.004413640004327399,0.09246644968701094,0.261096521470305,0.10117174234612525,0.004608256471408588,0.08493603042455561,0.09143946310062978,0.04137540839553131,0.005249011125809628,0.007083330891425587,0.007322427261871146
7001,0.07610857653840869,0.05610576993522718,0.9694832822831915,1.6393796939215006,0.15819172832519002,0.10881751883219228,0.8722179573529737,4.036917567690615,0.00535130222026622,0.005220726780281658,0.003522567989161344,0.0032939004186851423,0.004270604539610845,0.0054099241789679195,0.004578917476131006,0.005794159404893803,0.004731329872909008,0.005399944857240736,0.004472465215845812,0.004498532402319242,0.004341337312404901,0.005125998265215307,0.006517521614893432,0.0056924124255911725,0.004324308989802851,0.004574715167342069,0.0064013481512924415,0.0034147288558741083,0.0034690584489911434,0.004793826873934839,0.006717488415023244,0.03508880462385261,0.04907918758648961,0.004848644980747281,0.006077657175705679,0.007787735491142134,0.010391060397089449,0.005284435469688434,0.0037979416743742626,0.022472377363375262,0.006037740448559695,0.005045208768838887,0.004774195314319916,0.008074354628876153,0.007708031303642348,0.004767354958816628,0.10290343357435815,0.26786789546467604,0.1059434252965202,0.005263918884343204,0.09465088439685931,0.07494297065068646,0.03276427764539197,0.005669956421923707,0.008673700622824344,0.008167686980220103
8001,0.07690641712411113,0.05681828975416118,0.9686058348433279,1.6970512693932183,0.13887765918507866,0.09729628614174556,0.9042873854564392,3.051735870437872,0.0055105403530639665,0.005451731644039087,0.0037870447915602378,0.003123622328877156,0.004538130991071336,0.005464784984930118,0.005358760562550662,0.006263365231731505,0.005409342816775365,0.0050258751104167885,0.004435412968931344,0.004832676206066264,0.004636034580232985,0.004796576573249636,0.00676478511849819,0.005601722899525791,0.00469102013648442,0.0049415085005032585,0.007640779861800267,0.0035725940717399136,0.0031293994510592743,0.005045534239162764,0.006075123788344116,0.039482057214063844,0.041284640306225466,0.004640951258987763,0.006181709560604801,0.008102176147118681,0.010152444311194836,0.006772024163145861,0.005761676334512855,0.01997727557895245,0.005977071086533649,0.0049417419064071285,0.004922281669874486,0.01016006423513863,0.009287372669463648,0.005075104760880913,0.09266213259542617,0.27574683592803434,0.0957504877954797,0.005444873206948746,0.10828192724638923,0.07377363940572462,0.028557998091951937,0.005878508540295884,0.008465668141261415,0.00662297063476855
9001,0.0780626570956477,0.05723354566275117,0.9683041638899995,1.727774296267642,0.14405671421691538,0.10168052823917585,0.8885048559660984,3.908352442843182,0.0059501850717371685,0.00555134870233241,0.004033246464259574,0.0035178250547600407,0.004646188963259358,0.005388147701878232,0.005450087394167133,0.006071771158498388,0.005267492684347558,0.004839399036313715,0.004386054342530568,0.004907278817838263,0.005159700961376896,0.004458276957329722,0.007044222640993203,0.005438878461845259,0.004989301991601527,0.004803279673148097,0.007637992252814046,0.0043336627057153024,0.003675443367438239,0.004130763637532135,0.005203158687769145,0.035855095247365174,0.0444609133076936,0.004765867686581948,0.006037416664301755,0.010372386628814506,0.011407191016030587,0.005898891969379894,0.004759262355706371,0.019469332738668972,0.005810093877734961,0.004779998514607254,0.0043784991656976805,0.009710500572649444,0.008770050527503532,0.005254505866826951,0.09807294771245333,0.26005312161769484,0.09847489444165496,0.00488635526345797,0.08843224179428123,0.09055720208876865,0.03769987497543415,0.0059203773563475184,0.009244954060447858,0.008044317820410934
10001,0.07679115602781963,0.056468064509429594,0.9691142811184253,1.6934842595542214,0.14214581442181412,0.10202306721868364,0.8943873073530901,3.308501838667075,0.005664655280376105,0.005802367219909581,0.0034917648043492565,0.0035275774429579104,0.004835001299818878,0.004917993147408059,0.0044846040846816615,0.00549589937557077,0.005386487177436159,0.005040964417822635,0.005218664877293917,0.004994108767926985,0.00507763958609876,0.005359660185235213,0.007050024974664738,0.005382452604438354,0.004634662494105423,0.005140499508345907,0.008410708513743698,0.003540212082996153,0.0033651226216371366,0.005119399089462192,0.004919934599043727,0.03763186764692946,0.04772051935083654,0.005587904682498022,0.006273197051315078,0.0093632931639174,0.007523610668226624,0.005686149757488568,0.004591241147950753,0.02011628527197439,0.005638921816624704,0.005346901691229967,0.004460615453815455,0.01010643017794243,0.008467038239132254,0.004506794009399757,0.10237037034408474,0.2643914818602042,0.09542555985419975,0.005443261122218509,0.08843898909262687,0.09638143936612943,0.02960849742594823,0.00484366211261081,0.006954195454315912,0.006261369083056861
