seed,RMSE_train,MAE_train,R2_train,L2err_train,RMSE_test,MAE_test,R2_test,L2err_test,193_magnitude,193_rel_magnitude,193_est_size,193_duration,171_magnitude,171_rel_magnitude,171_est_size,171_duration,304_magnitude,304_rel_magnitude,304_est_size,304_duration,1600_magnitude,1600_rel_magnitude,1600_est_size,1600_duration,131_magnitude,131_rel_magnitude,131_est_size,131_duration,94_magnitude,94_rel_magnitude,94_est_size,94_duration,Nx,Ny
1001,0.0870449639184386,0.0626878915597893,0.9597970356491526,1.929038090826505,0.14666369817386557,0.1048645558129172,0.8931030302350265,3.7162192935619105,0.008994771141303516,0.03507145500770282,0.05159234271554163,0.00816496782769122,0.010980636434554455,0.010352945422736654,0.011604306965017788,0.009286693144909507,0.009372629987523985,0.015074090088230015,0.009487609929894406,0.008006139751744636,0.008251121415781942,0.015939639815278548,0.010562251607396154,0.006737698856257695,0.11794545038105585,0.2833315784624536,0.08722173346686232,0.00873706852816898,0.0933250360972621,0.1150799290028315,0.03169687455710667,0.007804845172225779,0.013325370727683921,0.012052813492784224
2001,0.08877476614295202,0.06296538934144778,0.9589379650804565,1.9224760196938684,0.1520077133375719,0.10539431177420225,0.8765629817755455,3.1662438688972685,0.008267748371495348,0.05056296695958858,0.059520700520236704,0.007990285848923978,0.00905553837141534,0.014790653515870417,0.01311011458706631,0.008698411692523065,0.008186710163822764,0.019133309412848395,0.009681502417709114,0.00752920093520457,0.0077271563500953665,0.01855985944095314,0.012337313174087074,0.007001544176056911,0.11221402745580146,0.2646768578733729,0.0913362341152213,0.007408060435088428,0.09731336301206976,0.09998059657055151,0.03515867003995135,0.0075490886552210335,0.011715871174682452,0.010494214730142778
3001,0.08844891688256266,0.06333652362656962,0.9585770881485947,1.8813465485512573,0.14372678037729858,0.10448234331176982,0.8965144786046879,2.991110620723745,0.009752333272548399,0.04955453881026517,0.04780278335147039,0.007880254638937403,0.010704963752458411,0.014869000903420741,0.013238297646879204,0.008114382675814278,0.009272843262523265,0.016371777133271447,0.010511435370918264,0.007762074868803973,0.00811346177219719,0.021144487258825808,0.011720277109130416,0.0071940248704692586,0.10856807672374122,0.2753610739934952,0.09155514464575194,0.008094173292838139,0.09918370626070615,0.09444287879140827,0.03561474214356005,0.007983732574424826,0.0134905916348427,0.011698943241298098
4001,0.08657438229128701,0.0621030249191884,0.9612832567433388,1.820624596192336,0.14771387609443548,0.10588100968520915,0.8792344833358265,3.452074901847612,0.009044509265626435,0.048893000240800816,0.04239357130255379,0.008056408555584984,0.009573772232567617,0.011230746503716544,0.010006969598875988,0.008269284401858812,0.00809639592593881,0.0156600224041018,0.009704825236141043,0.0072274071029476365,0.0073248330740194835,0.016215282049166536,0.011266559381201064,0.007265914628044711,0.11687684067641639,0.27825517765155544,0.10214945156214485,0.008043475956529359,0.09855222119511638,0.09693343648317555,0.03549952335264523,0.00795669732115978,0.013945660402866083,0.011558013495244837
5001,0.08728664105079005,0.06279345430988637,0.9600442614470632,1.8807858450225696,0.15124069556088915,0.10424407161863677,0.8810343409397384,3.1625900715057442,0.009108885520544813,0.04874374716299819,0.04508748239477234,0.0076388198097467695,0.010676873151909813,0.013030410042318448,0.010082582571508602,0.008507542870800784,0.008330056952832171,0.01917071845309218,0.009049696347400023,0.007275119513001876,0.00786347484940004,0.018165980157307922,0.01257539616433044,0.00722760209273736,0.11867003419751838,0.281180500843179,0.08979594761808288,0.008034185262523499,0.0948983349148198,0.09818302474659901,0.03461761503355846,0.007975356133852543,0.01258685148407007,0.011523761711094635
6001,0.08851203937707065,0.06341686553263713,0.9592414750020002,1.8005888409710187,0.14578003190359473,0.10365868890026275,0.8859201549995492,3.6396531049065683,0.008889816426628765,0.047212926067572346,0.03824380641348986,0.007773122153016763,0.010129800394925169,0.010313799448345803,0.011569470399977936,0.008481673761728578,0.008691614009527553,0.019073445247934737,0.010148873057336152,0.006715234776351192,0.007743429988356105,0.018858717667879978,0.012365910905875974,0.007513183111941704,0.11065091969644687,0.26918961350262366,0.1069839122248531,0.007585227093065714,0.09387217971360946,0.10590375548544465,0.03940777839797429,0.0075177283412597995,0.013612291446111282,0.011551770267722672
7001,0.08782618386153286,0.0626981302718032,0.9593632799672269,1.814006086665693,0.16081765327588432,0.1113466227872978,0.8679404767459741,4.132299036767081,0.00910906914323797,0.03858037510933307,0.05370725462855777,0.007543468079285909,0.00987315393791852,0.011043419701614042,0.011118065701795849,0.008690460779047724,0.00828775481770219,0.017411296315488167,0.00923692044791907,0.007912363151363618,0.00802238699429677,0.017653679699218456,0.010329752545323614,0.006723904715587345,0.11495535204881674,0.2738550568169481,0.10419715455617976,0.007395964385835309,0.10236105504164243,0.0959852266016051,0.03300599499330776,0.007879582342965041,0.01381047916491452,0.011310808280095152
8001,0.08730390406056573,0.06259318041675156,0.9595432389639531,1.8415611324565733,0.14250857623917026,0.09781344848439288,0.8992172030794608,3.2184054902388453,0.008996026266013778,0.04901382436691293,0.04472723743592142,0.007679077733689623,0.011290721585992354,0.012255886764938743,0.009707317726322703,0.009422233614742544,0.00976920815194698,0.016616695890536853,0.009874761987466708,0.007471240398602949,0.008033618809331759,0.018848280917567243,0.011514180667840063,0.007435331591025377,0.11531592295981385,0.28024445706018,0.09332784421975919,0.008188693315252156,0.10629306964795017,0.08565972473017364,0.03586912558806171,0.00827895438298889,0.013149487096499393,0.011017077090469053
9001,0.09001042998473688,0.06370051639790726,0.9578593504104014,1.81418680517057,0.14623168074641332,0.102561822886899,0.8851127360597387,4.092937317060107,0.008428319962121839,0.05687856855416583,0.04826444545315491,0.008399274530506743,0.010503060712350703,0.01013868243076556,0.010747172372558695,0.008649442905298978,0.00939910732243119,0.017827297343813775,0.010197744663446124,0.007503399448432195,0.008044511985321951,0.01752975825357057,0.012044354717112968,0.00782887335227926,0.10496907872471127,0.2621582376475225,0.09965119892476601,0.00803541575029581,0.10179405639432174,0.10321980043051585,0.03592691056626585,0.007999285012232463,0.012079706157474161,0.011782296384563068
10001,0.0870073594416564,0.06268080743795543,0.960349626720378,1.9044330334456911,0.14201788197657256,0.1015996731624317,0.8945773264533453,3.1504843858972813,0.009003833841203944,0.049948865552464215,0.04079004835917368,0.007719366824789705,0.012530825949687286,0.012696005094596147,0.009986505608154825,0.008908910803932687,0.009680791855098013,0.0177623455142867,0.008375884675575715,0.007612445170728824,0.007514652604733379,0.01749062128770973,0.012419593863364834,0.006795524481654701,0.12464554502741013,0.2651508411556487,0.08780661562862392,0.008384382887631861,0.10174631706390927,0.10823711817308695,0.03337244590988627,0.007363303467397702,0.012507077542238218,0.011550131657012517
